Album Name,Artist,Critic Score,User Score
To Pimp a Butterfly,Kendrick Lamar,95,95
"good kid, m.A.A.d city",Kendrick Lamar,90,94
Songs in the Key of Life,Stevie Wonder,100,94
In Rainbows,Radiohead,87,94
Lift Your Skinny Fists Like Antennas to Heaven,Godspeed You Black Emperor!,87,93
Wish You Were Here,Pink Floyd,100,93
OK Computer,Radiohead,94,93
Vespertine,Björk,85,93
Madvillainy,Madvillain,89,93
Illmatic,Nas,94,93
What's Going On,Marvin Gaye,97,92
The Black Saint and the Sinner Lady,Mingus,95,92
Abbey Road,The Beatles,100,92
Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,97,92
Grace,Jeff Buckley,90,92
In the Court of the Crimson King,King Crimson,90,92
"The Glow, Pt. 2",The Microphones,93,92
Kid A,Radiohead,81,92
Deathconsciousness,Have a Nice Life,90,92
Homogenic,Björk,91,91
The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie,100,91
The Miseducation of Lauryn Hill,Lauryn Hill,90,91
Toxicity,System of a Down,84,91
Purple Rain,Prince and the Revolution,96,91
Illinois,Sufjan Stevens,91,91
Electric Ladyland,The Jimi Hendrix Experience,100,91
The Dark Side of the Moon,Pink Floyd,97,91
When the Pawn…,Fiona Apple,76,91
Kind of Blue,Miles Davis,100,91
Discovery,Daft Punk,80,91
Animals,Pink Floyd,69,91
Love Deluxe,Sade,76,91
Disintegration,The Cure,85,91
LONG SEASON,Fishmans,92,91
The College Dropout,Kanye West,81,91
A Love Supreme,John Coltrane,100,90
LP! (Offline Version),JPEGMAFIA,90,90
IGOR,"Tyler, The Creator",85,90
The Low End Theory,A Tribe Called Quest,91,90
Slow Riot for New Zerø Kanada E.P.,Godspeed You Black Emperor!,88,90
Atrocity Exhibition,Danny Brown,84,90
Ants From Up There,"Black Country, New Road",88,90
Construção,Chico Buarque,95,90
Clube da Esquina,Milton Nascimento,88,90
Symbolic,Death,90,90
The Downward Spiral,Nine Inch Nails,84,90
Remain in Light,Talking Heads,97,90
Bitches Brew,Miles Davis,100,90
Ys,Joanna Newsom,86,90
The Infamous,Mobb Deep,91,90
Hounds of Love,Kate Bush,94,90
Dummy,Portishead,92,90
Aquemini,OutKast,91,90
The Glowing Man,Swans,80,90
Soundtracks for the Blind,Swans,97,90
Red,King Crimson,92,90
F♯ A♯ ∞,Godspeed You Black Emperor!,92,90
Black on Both Sides,Mos Def,87,90
Nevermind,Nirvana,91,90
Karma,Pharoah Sanders,93,90
★ [Blackstar],David Bowie,86,90
Highway 61 Revisited,Bob Dylan,100,90
Master of Puppets,Metallica,100,90
In Utero,Nirvana,92,90
Innervisions,Stevie Wonder,98,90
Heaven or Las Vegas,Cocteau Twins,85,90
To Be Kind,Swans,88,90
Twin Fantasy (Face to Face),Car Seat Headrest,82,90
solace,Earl Sweatshirt,No Critic Score,90
Thriller,Michael Jackson,97,90
Either/Or,Elliott Smith,84,90
Blue,Joni Mitchell,100,90
Sobrevivendo no Inferno,Racionais MC's,50,90
The Forever Story,JID,82,90
Imaginal Disk,Magdalena Bay,86,90
Donuts,J Dilla,84,90
Pink Moon,Nick Drake,95,89
A Crow Looked at Me,Mount Eerie,90,89
Blonde,Frank Ocean,86,89
My Beautiful Dark Twisted Fantasy,Kanye West,91,89
The Sound of Perseverance,Death,90,89
Late Registration,Kanye West,83,89
Uneven Compromise,Lil Ugly Mane,100,89
Revolver,The Beatles,100,89
Paranoid,Black Sabbath,96,89
Bocanada,Gustavo Cerati,90,89
Piñata,Freddie Gibbs,78,89
Station to Station,David Bowie,90,89
Blonde on Blonde,Bob Dylan,100,89
Carrie & Lowell,Sufjan Stevens,91,89
All Things Must Pass,George Harrison,96,89
The Seer,Swans,86,89
Since I Left You,The Avalanches,85,89
In a Silent Way,Miles Davis,100,89
Sometimes I Might Be Introvert,Little Simz,90,89
Exmilitary,Death Grips,79,89
loveless,my bloody valentine,92,89
Ready to Die,The Notorious B.I.G.,88,89
Have One On Me,Joanna Newsom,85,89
A Tábua de Esmeralda,Jorge Ben,90,89
